MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10003448599,000000000023738688,0.160,Active Import Interval (kW),27-09-2024 03:30
10003448599,000000000023738688,0.162,Active Import Interval (kW),27-09-2024 03:00
10003448599,000000000023738688,0.250,Active Import Interval (kW),27-09-2024 02:30
10003448599,000000000023738688,0.278,Active Import Interval (kW),27-09-2024 02:00
10003448599,000000000023738688,0.286,Active Import Interval (kW),27-09-2024 01:30
10003448599,000000000023738688,0.248,Active Import Interval (kW),27-09-2024 01:00
10003448599,000000000023738688,0.224,Active Import Interval (kW),27-09-2024 00:30
10003448599,000000000023738688,0.222,Active Import Interval (kW),27-09-2024 00:00
10003448599,000000000023738688,0.252,Active Import Interval (kW),26-09-2024 23:30
10003448599,000000000023738688,0.526,Active Import Interval (kW),26-09-2024 23:00
10003448599,000000000023738688,0.248,Active Import Interval (kW),26-09-2024 22:30
10003448599,000000000023738688,0.246,Active Import Interval (kW),26-09-2024 22:00
10003448599,000000000023738688,0.252,Active Import Interval (kW),26-09-2024 21:30
10003448599,000000000023738688,0.240,Active Import Interval (kW),26-09-2024 21:00
10003448599,000000000023738688,0.188,Active Import Interval (kW),26-09-2024 20:30
10003448599,000000000023738688,0.188,Active Import Interval (kW),26-09-2024 20:00
10003448599,000000000023738688,0.214,Active Import Interval (kW),26-09-2024 19:30
10003448599,000000000023738688,0.350,Active Import Interval (kW),26-09-2024 19:00
10003448599,000000000023738688,0.292,Active Import Interval (kW),26-09-2024 18:30
10003448599,000000000023738688,0.208,Active Import Interval (kW),26-09-2024 18:00
10003448599,000000000023738688,0.174,Active Import Interval (kW),26-09-2024 17:30
10003448599,000000000023738688,0.140,Active Import Interval (kW),26-09-2024 17:00
10003448599,000000000023738688,0.146,Active Import Interval (kW),26-09-2024 16:30
10003448599,000000000023738688,0.350,Active Import Interval (kW),26-09-2024 16:00
10003448599,000000000023738688,0.196,Active Import Interval (kW),26-09-2024 15:30
10003448599,000000000023738688,0.200,Active Import Interval (kW),26-09-2024 15:00
10003448599,000000000023738688,0.206,Active Import Interval (kW),26-09-2024 14:30
10003448599,000000000023738688,0.276,Active Import Interval (kW),26-09-2024 14:00
10003448599,000000000023738688,0.158,Active Import Interval (kW),26-09-2024 13:30
10003448599,000000000023738688,0.216,Active Import Interval (kW),26-09-2024 13:00
10003448599,000000000023738688,0.194,Active Import Interval (kW),26-09-2024 12:30
10003448599,000000000023738688,0.198,Active Import Interval (kW),26-09-2024 12:00
10003448599,000000000023738688,0.208,Active Import Interval (kW),26-09-2024 11:30
10003448599,000000000023738688,0.174,Active Import Interval (kW),26-09-2024 11:00
10003448599,000000000023738688,0.324,Active Import Interval (kW),26-09-2024 10:30
10003448599,000000000023738688,0.242,Active Import Interval (kW),26-09-2024 10:00
10003448599,000000000023738688,0.220,Active Import Interval (kW),26-09-2024 09:30
